Country,TotalCases,TotalDeaths,Recovered,ActiveCases,SeriousCases,CasesPerMil,Population,MedianAge
China,81008,3255,71740,6013,1927,56.0,1439323776,38
Italy,47021,4032,5129,37860,2655,778.0,60461826,47
Spain,24926,1326,2125,21475,939,533.0,46754778,45
Germany,20705,72,209,20424,2,247.0,83783942,46
Iran,20610,1556,7635,11419,0,245.0,83992949,32
United States of America,19775,276,147,19352,64,60.0,331002651,38
France,12612,450,1587,10575,1297,193.0,65273511,42
South Korea,8799,102,2612,6085,59,172.0,51269185,44
Switzerland,6186,58,15,6113,141,715.0,8654622,43
United Kingdom,3983,177,65,3741,20,59.0,67886011,40
Netherlands,2994,106,2,2886,210,175.0,17134872,43
Belgium,2815,67,263,2485,288,243.0,11589623,42
Austria,2719,7,9,2703,15,302.0,9006398,43
Norway,1997,7,1,1989,27,368.0,5421241,40
Sweden,1674,17,16,1641,69,166.0,10099265,41
Denmark,1326,13,1,1312,42,229.0,5792202,42
Portugal,1280,12,5,1263,26,126.0,10196709,46
Malaysia,1183,4,114,1065,26,37.0,32365999,30
Canada,1087,12,14,1061,1,29.0,37742154,41
Australia,1068,7,46,1015,2,42.0,25499884,38
Japan,1007,35,215,757,50,8.0,126476461,48
Brazil,978,11,2,965,18,5.0,212559417,33
Czechia,925,0,4,921,6,86.0,0,0
Israel,883,1,36,846,15,102.0,8655535,30
Diamond Princess,712,8,567,137,15,0.0,0,0
Ireland,683,3,5,675,6,138.0,4937786,38
Turkey,670,9,0,661,0,8.0,84339067,32
Luxembourg,670,8,6,656,1,1070.0,625978,40
Pakistan,534,3,13,518,0,2.0,220892340,23
Finland,512,0,10,502,2,92.0,5540720,43
Greece,495,13,19,463,20,47.0,10423054,46
Iceland,473,0,5,468,1,1386.0,341243,37
Qatar,470,0,10,460,6,163.0,2881053,32
Poland,452,5,13,434,3,12.0,37846611,42
Indonesia,450,38,20,392,0,2.0,273523615,30
Chile,434,0,6,428,7,23.0,19116201,35
Singapore,432,2,140,290,14,74.0,5850342,42
Ecuador,426,7,3,416,2,24.0,17643054,28
Thailand,411,1,44,366,7,6.0,69799978,40
Romania,367,0,52,315,14,19.0,19237691,43
Saudi Arabia,344,0,8,336,0,10.0,34813871,32
Slovenia,341,1,0,340,9,164.0,2078938,45
Philippines,307,19,13,275,1,3.0,109581078,26
Estonia,306,0,1,305,1,231.0,1326535,42
Bahrain,305,1,125,179,4,179.0,1701575,32
Egypt,285,8,42,235,0,3.0,102334404,25
India,283,5,23,255,0,0.2,1380004385,28
Hong Kong,273,4,98,171,4,36.0,7496981,45
Peru,263,4,1,258,5,8.0,32971854,31
Russia,253,1,12,240,0,2.0,145934462,40
South Africa,240,0,2,238,0,4.0,59308690,28
Iraq,208,17,49,142,0,5.0,40222493,21
Mexico,203,2,4,197,1,2.0,128932753,29
